Note #  StartTime   EndTime  Note    Volume
0       0.719       0.464    G♯1
1       1.369       0.719    F1      80
2       2.298       1.369    F♯1     82
3       3.018       2.298    F1      87
4       12.37       3.018    F♯1     77
5       12.49       12.37    E1      90
6       15.41       15.23    F♯1     95
7       26.67       15.41    G♯1     75
8       26.84       26.67    G1      95
9       27.07       26.84    D♯1     93
10      29.02       28.81    A1      90
11      38.91       29.02    A♯1     77
12      49.99       41.16    B1      80
13      52.17       51.87    D2      100
14      61.09       52.17    C♯2     89
15      62.71       62.62    C♯2     100
16      62.99       62.71    D2      80
17      71.70       62.99    D♯2     100
18      71.88       71.70    E2      91
19      82.17       73.21    F2      100
20      84.14       83.87    E2      80
21      84.65       84.14    F2      91
22      94.73       84.65    F♯2     95
23      94.96       94.73    F2      94
